index	name	abbreviation	color
320	Primary_motor_area_Layer_1	MOp1	#2da14f
321	Subgeniculate_nucleus	SubG	#ff8785
325	Suprageniculate_nucleus	SGN	#ff8382
326	superior_cerebelar_peduncles	scp	#cccccc
328	Agranular_insular_area_dorsal_part_layer_2/3	AId2/3	#5fab61
330	Retrosplenial_area_dorsal_part_layer_6b	RSPd6b	#68aa8e
332	Accessory_supraoptic_group	ASO	#ff4c3e
333	Septohippocampal_nucleus	SH	#8befe8
335	Perirhinal_area_layer_6a	PERI6a	#4fa6a4
338	Subfornical_organ	SFO	#ff4d50
341	supramammillary_decussation	smd	#cccccc
342	Substantia_innominata	SI	#98d0b0
344	Agranular_insular_area_posterior_part_layer_5	AIp5	#3ba56a
347	Subparaventricular_zone	SBPV	#ff4d50
350	Subceruleus_nucleus	SLC	#ffac72
351	Bed_nuclei_of_the_stria_terminalis	BST	#a0bea0
354	Medulla	MY	#ffa0b0
355	Agranular_insular_area_posterior_part_layer_6b	AIp6b	#6cba89
356	Preparasubthalamic_nucleus	PST	#ff4f50
358	Sublaterodorsal_nucleus	SLD	#ffac71
362	Mediodorsal_nucleus_of_thalamus	MD	#ff90a3
363	Prelimbic_area_layer_5	PL5	#8cb272
364	Parasubthalamic_nucleus	PSTN	#ff4f50
366	Submedial_nucleus_of_the_thalamus	SMT	#ff90a1
368	Perirhinal_area_layer_6b	PERI6b	#63abad
372	Infracerebellar_nucleus	ICB	#ffd4db
374	Substantia_nigra_compact_part	SNc	#ff9ef8
377	Posterolateral_visual_area_layer_6a	VISpl6a	#6ecde2
380	cuneate_fascicle	cuf	#cccccc
381	Substantia_nigra_reticular_part	SNr	#ffb2f7
382	Field_CA1	CA1	#7aff79
388	gracile_fascicle	grf	#cccccc
390	Supraoptic_nucleus	SO	#ff4c3c
393	Posterolateral_visual_area_layer_6b	VISpl6b	#6bcdec
397	ventral_tegmental_decussation	vtd	#cccccc
401	Anteromedial_visual_area_layer_4	VISam4	#008f98
403	Medial_amygdalar_nucleus	MEA	#b0d0f8
412	Orbital_area_lateral_part_layer_2/3	ORBl2/3	#3f9457
413	vestibular_nerve	vVIIIn	#cccccc
414	Subparafascicular_nucleus_magnocellular_part	SPFm	#ff6fa5
421	Lateral_visual_area_layer_1	VISl1	#009f9e
422	Subparafascicular_nucleus_parvicellular_part	SPFp	#ff6ea5
423	Field_CA2	CA2	#7aff78
427	Ectorhinal_area/Layer_2/3	ECT2/3	#139385
429	Spinal_nucleus_of_the_trigeminal_caudal_part	SPVC	#ffb0b7
430	Retrosplenial_area_ventral_part_layer_2/3	RSPv2/3	#3d9568
433	Anteromedial_visual_area_layer_5	VISam5	#009ea3
434	Retrosplenial_area_dorsal_part_layer_2/3	RSPd2/3	#229163
436	columns_of_the_fornix	fx	#cccccc
437	Spinal_nucleus_of_the_trigeminal_interpolar_part	SPVI	#ffb0b8
440	Orbital_area_lateral_part_layer_6a	ORBl6a	#6ba874
441	Anteromedial_visual_area_layer_6b	VISam6b	#62acb5
442	Retrosplenial_area_dorsal_part_layer_1	RSPd1	#008b59
443	dorsal_hippocampal_commissure	dhc	#cccccc
445	Spinal_nucleus_of_the_trigeminal_oral_part	SPVO	#ffb0b6
448	Orbital_area_lateral_part_layer_1	ORBl1	#258f45
449	ventral_hippocampal_commissure	vhc	#cccccc
450	Primary_somatosensory_area_upper_limb_layer_1	SSp-ul1	#00ae67
451	Basolateral_amygdalar_nucleus_ventral_part	BLAv	#49ff53
452	Median_preoptic_nucleus	MEPO	#ff4d56
456	Posterior_auditory_area_layer_6b	AUDpo6b	#88c7c3
460	Midbrain_trigeminal_nucleus	MEV	#ff98fe
461	Primary_somatosensory_area_trunk_layer_6b	SSp-tr6b	#9cd8da
463	Field_CA3	CA3	#7aff77
466	alveus	alv	#cccccc
469	posteromedial_visual_area_layer_6b	VISpm6b	#77c2ca
470	Subthalamic_nucleus	STN	#ff4f55
475	Medial_geniculate_complex	MG	#ff70a2
477	Striatum	STR	#a0c8e8
478	Primary_somatosensory_area_lower_limb_layer_6a	SSp-ll6a	#77cabc
482	brachium_of_the_inferior_colliculus	bic	#cccccc
483	Medial_habenula	MH	#ff8690
484	Orbital_area_medial_part_layer_1	ORBm1	#669b3f
488	Orbital_area_lateral_part_layer_6b	ORBl6b	#80af80
491	Medial_mammillary_nucleus	MM	#ff4e54
494	Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_a	SCig-a	#ffb2f8
501	posteromedial_visual_area_layer_4	VISpm4	#00b3c8
502	Subiculum	SUB	#80ff97
503	Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_b	SCig-b	#ffb2f8
507	Main_olfactory_bulb	MOB	#a0ffab
510	Primary_somatosensory_area_lower_limb_layer_6b	SSp-ll6b	#91d3c6
511	Superior_colliculus_motor_related_intermediate_gray_layer_sublayer_c	SCig-c	#ffb2f8
515	Medial_preoptic_nucleus	MPN	#ff4e57
520	Ventral_auditory_area_layer_6a	AUDv6a	#74bea0
523	Medial_preoptic_area	MPO	#ff4d57
525	Supramammillary_nucleus	SUM_	#ff4e55
527	Dorsal_auditory_area_layer_1	AUDd1	#009d7d
530	dorsal_fornix	df	#cccccc
531	Medial_pretectal_area	MPT	#ffb0f8
534	Supratrigeminal_nucleus	SUT	#ffae52
536	Central_amygdalar_nucleus	CEA	#abd0f8
540	Perirhinal_area_layer_1	PERI1	#008d85
542	Retrosplenial_area_ventral_part_layer_1	RSPv1	#008a4f
549	Thalamus	TH	#ff7080
556	Infralimbic_area_layer_2/3	ILA2/3	#32925d
558	Primary_somatosensory_area_nose_layer_1	SSp-n1	#00af73
564	Medial_septal_nucleus	MS	#76e0b0
565	posteromedial_visual_area_layer_5	VISpm5	#3fb8c9
566	Postpiriform_transition_area	TR	#a0ffa6
573	Lateral_visual_area_layer_4	VISl4	#00a1ad
574	Tegmental_reticular_nucleus	TRN	#ffae51
575	Central_lateral_nucleus_of_the_thalamus	CL	#ff8784
576	Accessory_facial_motor_nucleus	ACVII	#ffd4eb
577	Primary_somatosensory_area_upper_limb_layer_4	SSp-ul4	#4fbc85
580	Nucleus_of_the_brachium_of_the_inferior_colliculus	NB	#ff98fd
581	Triangular_nucleus_of_septum	TRS	#80e0b0
582	Orbital_area_medial_part_layer_2/3	ORBm2/3	#83a65f
583	Claustrum	CLA	#50ff55
587	Nucleus_of_Darkschewitsch	ND	#ff92ff
588	Anterior_cingulate_area_ventral_part_layer_1	ACAv1	#6dbf55
589	Taenia_tecta	TT	#a0ffa0
590	Retrosplenial_area_ventral_part_layer_6a	RSPv6a	#60a681
591	Central_linear_nucleus_raph	CLI	#ff9efd
593	Primary_visual_area_layer_1	VISp1	#009399
595	fasciculus_retroflexus	fr	#cccccc
596	Diagonal_band_nucleus	NDB	#8ae0b0
598	Ventral_auditory_area_layer_6b	AUDv6b	#7fc1a8
599	Central_medial_nucleus_of_the_thalamus	CM	#ff8684
600	Dorsal_auditory_area_layer_2/3	AUDd2/3	#00a389
601	Anterolateral_visual_area_layer_6a	VISal6a	#69c1d4
603	fimbria	fi	#cccccc
604	Nucleus_incertus	NI	#ffac74
608	Orbital_area_ventrolateral_part_layer_6a	ORBvl6a	#61a674
609	Subparafascicular_area	SPA	#ff80b1
610	Retrosplenial_area_dorsal_part_layer_5	RSPd5	#3c956d
611	habenular_commissure	hbc	#cccccc
612	Nucleus_of_the_lateral_lemniscus	NLL	#ffaa61
613	Lateral_visual_area_layer_5	VISl5	#00b0b8
614	Tuberal_nucleus	TU	#ff4f56
616	Cuneiform_nucleus	CUN	#ffb2fe
620	Orbital_area_medial_part_layer_5	ORBm5	#96b571
621	Motor_nucleus_of_trigeminal	V	#ffae68
622	Retrosplenial_area_ventral_part_layer_6b	RSPv6b	#69a987
625	Primary_somatosensory_area_upper_limb_layer_5	SSp-ul5	#67c293
628	Nucleus_of_the_optic_tract	NOT	#ffb0f7
629	Ventral_anterior-lateral_complex_of_the_thalamus	VAL	#ff6ca1
630	Orbital_area_lateral_part_layer_5	ORBl5	#529862
632	Dentate_gyrus_granule_cell_layer	DG-sg	#40c840
633	inferior_colliculus_commissure	cic	#cccccc
634	Nucleus_of_the_posterior_commissure	NPC	#ffb0f6
638	Gustatory_areas_layer_6a	GU6a	#98d098
639	Cortical_amygdalar_area_anterior_part	COAa	#a0ffb2
642	Nucleus_of_the_trapezoid_body	NTB	#ffb0b5
643	Posterior_auditory_area_layer_2/3	AUDpo2/3	#18a597
647	Cortical_amygdalar_area_posterior_part	COAp	#a0ffb3
648	Primary_motor_area_Layer_5	MOp5	#5eac6f
649	Anterolateral_visual_area_layer_6b	VISal6b	#67c1dd
651	Nucleus_of_the_solitary_tract	NTS	#ffb2b0
653	Abducens_nucleus	VI	#ffd4e1
654	Primary_somatosensory_area_nose_layer_4	SSp-n4	#4ebd8c
656	Secondary_motor_area_layer_1	MOs1	#3f9344
657	Primary_somatosensory_area_mouth_layer_2/3	SSp-m2/3	#14b46b
658	lateral_lemniscus	ll	#cccccc
661	Facial_motor_nucleus	VII	#ffd4ea
662	Gustatory_areas_layer_6b	GU6b	#afdab3
665	lateral_olfactory_tract_body	lot	#cccccc
667	Frontal_pole_layer_2/3	FRP2/3	#84a54a
670	Primary_somatosensory_area_trunk_layer_2/3	SSp-tr2/3	#00b9b3
671	Retrosplenial_area_lateral_agranular_part_layer_1	RSPagl1	#008b64
672	Caudoputamen	CP	#a0d8f8
673	mammillary_peduncle	mp	#cccccc
675	Agranular_insular_area_ventral_part_layer_6a	AIv6a	#99cf89
678	Dorsal_auditory_area_layer_4	AUDd4	#3faa97
679	Superior_central_nucleus_raph	CS	#ffac77
680	Orbital_area_ventrolateral_part_layer_6b	ORBvl6b	#75ac80
681	mammillotegmental_tract	mtg	#cccccc
685	Ventral_medial_nucleus_of_the_thalamus	VM	#ff6ca2
687	Retrosplenial_area_ventral_part_layer_5	RSPv5	#57a37b
689	Ventrolateral_preoptic_nucleus	VLPO	#ff4d50
690	mammilothalmic_tract	mtt	#cccccc
692	Perirhinal_area_layer_5	PERI5	#349792
693	Ventromedial_hypothalamic_nucleus	VMH	#ff4e5b
694	Agranular_insular_area_ventral_part_layer_2/3	AIv2/3	#6bc06e
696	Posterior_auditory_area_layer_1	AUDpo1	#009e89
697	medial_lemniscus	ml	#cccccc
698	Olfactory_areas	OLF	#90ff90
699	Agranular_insular_area_ventral_part_layer_6b	AIv6b	#a6d598
702	Primary_somatosensory_area_nose_layer_5	SSp-n5	#66c39a
703	Cortical_subplate	CTXsp	#50ff50
704	Agranular_insular_area_ventral_part_layer_1	AIv1	#54ba58
705	midbrain_tract_of_the_trigeminal_nerve	mtV	#cccccc
706	Olivary_pretectal_nucleus	OP	#ffb0f5
707	Infralimbic_area_layer_1	ILA1	#008948
711	Cuneate_nucleus	CU	#ffb1b1
718	Ventral_posterolateral_nucleus_of_the_thalamus	VPL	#ff6c91
721	Primary_visual_area_layer_4	VISp4	#1197a7
725	Ventral_posterolateral_nucleus_of_the_thalamus_parvicellular_part	VPLpc	#ff6c92
728	arbor_vitae	arb	#cccccc
729	Temporal_association_areas_layer_6a	TEa6a	#66aa9d
